EMD_NM,버스정거장수,버스노선수,지하철역수,인구수,EMD_CD,centroid_lon,centroid_lat,교통지수
가야동,50,292,2,34681,26230110,129.03234154431144,35.14690900897569,0.42270984112338167
감만동,59,176,0,14636,26290111,129.08017127001654,35.11302017455018,0.7094834654277125
감전동,48,356,1,11983,26530105,128.97905966239475,35.15025299433841,1.4285237419677876
감천동,58,336,0,22279,26380108,129.0044192518959,35.089324538181266,0.8747250774271735
강동동,91,362,0,5002,26440103,128.91862989886198,35.180464432806325,6.585765693722511
개금동,83,486,1,54872,26230111,129.02064567063616,35.153875607819245,0.7356757544831608
거제동,115,694,3,70466,26470101,129.06744076892758,35.188562692040705,1.1338801691595948
광안동,73,436,4,65979,26500104,129.10936303445897,35.159558550623665,0.4842146743660862
괘법동,38,296,1,24389,26530104,128.99315187411517,35.16612297908413,0.4624215835007585
괴정동,88,516,3,59438,26380101,128.9942309691179,35.1035022238457,0.7654699014098725
구랑동,14,80,0,58,26440113,128.85421716813602,35.12743953326284,19.310344827586206
구서동,71,344,2,49747,26410107,129.0841041717094,35.2543453673585,0.492170382133596
구평동,74,270,0,12424,26380107,128.9905885200037,35.073734265270105,1.6081777205408887
구포동,100,626,3,56817,26320105,129.00695700933466,35.198396440415095,1.1033669500325607
금곡동,64,336,2,35281,26320101,129.0231612502067,35.26174342599642,0.6112071653297809
금사동,37,152,1,4680,26410111,129.11168004883262,35.22109257284214,1.208119658119658
금성동,24,48,0,914,26410113,129.0539239075783,35.254079987858,1.2603938730853392
기장읍,240,1652,0,51721,26710250,129.207006101489,35.22594086946236,7.6657450552000155
낙민동,20,192,1,19744,26260104,129.0925659717836,35.19667960965769,0.19600891410048624
남부민동,33,308,0,12378,26140123,129.02157706376389,35.08717295498457,0.8211342704798836
남산동,47,274,1,26347,26410104,129.08060624359874,35.26802873114085,0.48992295137966374
남천동,39,190,2,30056,26500105,129.1096621702292,35.144136574520005,0.24853606601011446
남포동1가,4,50,1,56,26110136,129.03490120585127,35.097275759140395,4.107142857142857
남포동4가,4,108,0,187,26110139,129.03201821075888,35.09738171227341,2.3101604278074865
남포동5가,4,108,0,206,26110140,129.02944125565077,35.09759203031538,2.0970873786407767
남포동6가,2,24,1,300,26110141,129.02699964521028,35.09721656860128,0.26
남항동1가,8,26,0,2977,26200105,129.0391962880503,35.09024191516004,0.06986899563318777
남항동2가,8,32,0,1053,26200106,129.03742439842335,35.08830864175645,0.24311490978157646
남항동3가,8,16,0,1675,26200107,129.03710576779548,35.08509111734123,0.0764179104477612
노포동,16,182,1,740,26410102,129.09093141375817,35.29011426605422,3.9756756756756757
녹산동,33,174,0,1160,26440111,128.88060616033368,35.11713685559269,4.95
눌차동,8,18,0,716,26440120,128.84619312311003,35.06715428782252,0.2011173184357542
다대동,135,730,3,61663,26380106,128.96987450384438,35.05601215572315,1.5996626826459952
당감동,73,462,0,42613,26230109,129.02892031629818,35.16730128019147,0.7914486189660432
당리동,44,200,1,24095,26380102,128.98314469993798,35.11236980427589,0.36646607179912843
대교동1가,8,76,0,1141,26200101,129.0379495792233,35.09297551674933,0.5328659070990359
대교동2가,5,56,0,1313,26200102,129.041004301872,35.09168346295162,0.21325209444021326
대연동,193,960,3,96097,26290106,129.09247960161713,35.140763230200854,1.9289884179526937
대저1동,123,472,3,5814,26440101,128.966082517904,35.21108328719407,10.001031991744066
대저2동,124,352,0,6520,26440102,128.9426227961814,35.16047919243172,6.694478527607362
대창동1가,1,48,0,533,26110102,129.03611415544214,35.10781522595882,0.0900562851782364
대창동2가,1,34,0,64,26110103,129.0374168960873,35.11066130296776,0.53125
대청동1가,1,0,0,979,26110116,129.03283983703304,35.10437247853659,0.0
대청동2가,3,12,0,487,26110117,129.03101771650222,35.10298722270291,0.07392197125256673
대청동3가,3,10,0,148,26110118,129.028918525657,35.10299629833369,0.20270270270270271
대청동4가,10,32,0,4123,26110119,129.02986644100162,35.10615270296984,0.07761338830948339
대평동1가,5,10,0,1708,26200103,129.03497857605203,35.091070979411406,0.02927400468384075
대평동2가,2,4,0,324,26200104,129.0327423737172,35.092547979733894,0.024691358024691357
