역번호,역사명,역위도,역경도,geometry,index_right,EMD_CD,COL_ADM_SE,EMD_NM,SGG_OID
95,다대포해수욕장,35.04867,128.9641,POINT (379204.91369513294 274258.7087616588),134.0,26380106,26380,다대동,3650.0
96,다대포항역,35.05782,128.9713,POINT (379841.8608616784 275286.9930548777),134.0,26380106,26380,다대동,3650.0
97,낫개역,35.065265,128.979873,POINT (380607.67719390214 276128.62174403697),134.0,26380106,26380,다대동,3650.0
98,신장림역,35.074433,128.977041,POINT (380329.1240359951 277140.8163600655),133.0,26380105,26380,장림동,3577.0
99,장림역,35.08109,128.9775,POINT (380356.33826295345 277880.3385129863),133.0,26380105,26380,장림동,3577.0
100,동매역,35.0899,128.9742,POINT (380035.9540800092 278851.9688078065),132.0,26380104,26380,신평동,3575.0
101,신평역,35.095179,128.960564,POINT (378780.7328833633 279413.191046956),132.0,26380104,26380,신평동,3575.0
102,하단역,35.10618,128.966803,POINT (379325.62869247596 280645.1306098032),131.0,26380103,26380,하단동,3573.0
103,당리역,35.103532,128.973846,POINT (379973.6928520036 280364.0018058558),130.0,26380102,26380,당리동,3574.0
104,사하역,35.099847,128.9831,POINT (380825.72153222386 279971.85922275664),129.0,26380101,26380,괴정동,3576.0
105,괴정역,35.099816,128.992144,POINT (381650.56588349445 279984.87790040544),129.0,26380101,26380,괴정동,3576.0
106,대티역,35.103126,128.999936,POINT (382353.7904749583 280366.4140526437),129.0,26380101,26380,괴정동,3576.0
107,서대신역,35.110937,129.012178,POINT (383452.65665859845 281255.6548720577),45.0,26140105,26140,서대신동2가,82.0
108,동대신역,35.110452,129.017684,POINT (383955.80642499554 281211.9956061252),42.0,26140102,26140,동대신동2가,102.0
109,토성역,35.100727,129.019776,POINT (384168.45107476984 280136.71810999786),54.0,26140114,26140,토성동3가,89.0
110,자갈치역,35.097372,129.02667,POINT (384804.7284674125 279777.1979396629),40.0,26110141,26110,남포동6가,132.0
111,남포역,35.097953,129.034869,POINT (385551.1557950862 279856.91401825415),35.0,26110136,26110,남포동1가,468.0
112,중앙역,35.103837,129.036371,POINT (385674.7870786602 280512.6394756425),6.0,26110107,26110,중앙동4가,527.0
113,부산역,35.115224,129.0397,POINT (385952.48413027474 281782.4282407481),65.0,26170101,26170,초량동,1975.0
114,초량역,35.121168,129.043039,POINT (386243.39765319723 282448.25700544205),65.0,26170101,26170,초량동,1975.0
115,부산진역,35.127787,129.047894,POINT (386670.93251404504 283191.8428138755),66.0,26170102,26170,수정동,1973.0
116,좌천역,35.134361,129.054455,POINT (387254.0132082694 283933.6681542892),67.0,26170103,26170,좌천동,33.0
117,범일역,35.140952,129.059352,POINT (387685.2809560803 284674.28163189156),68.0,26170104,26170,범일동,1995.0
118,범내골역,35.1474,129.059261,POINT (387662.17647078 285389.6289673519),93.0,26230104,26230,범천동,41.0
119,서면역(1호선),35.158282,129.059556,POINT (387664.0613348912 286597.7364453138),92.0,26230103,26230,부전동,40.0
120,부전역,35.162587,129.062952,POINT (387963.6363577064 287081.8675199054),92.0,26230103,26230,부전동,40.0
121,양정역,35.173122,129.071366,POINT (388706.0285052246 288266.85625195695),90.0,26230101,26230,양정동,98.0
122,시청역,35.179837,129.076642,POINT (389171.1892375852 289022.03833761206),173.0,26470102,26470,연산동,34.0
123,연산역,35.186168,129.081534,POINT (389602.17843027186 289733.90361643134),173.0,26470102,26470,연산동,34.0
124,교대역,35.19605,129.080035,POINT (389442.66463448 290827.6385401522),172.0,26470101,26470,거제동,49.0
125,동래역,35.205641,129.078506,POINT (389281.12165042077 291889.027221016),108.0,26260108,26260,온천동,37.0
126,명륜역,35.212551,129.079659,POINT (389370.0820897403 292658.0216197085),108.0,26260108,26260,온천동,37.0
127,온천장역,35.220249,129.086437,POINT (389969.42023316957 293525.2100368799),108.0,26260108,26260,온천동,37.0
128,부산대역,35.229609,129.089358,POINT (390213.5596203719 294569.47810766264),144.0,26410108,26410,장전동,41.0
129,장전역,35.23809095,129.088111,POINT (390080.21802283486 295508.3287788233),144.0,26410108,26410,장전동,41.0
130,구서역,35.247407,129.091327,POINT (390351.22942773707 296548.2943844639),143.0,26410107,26410,구서동,690.0
131,두실역,35.256959,129.091386,POINT (390334.25873886026 297608.3937174833),143.0,26410107,26410,구서동,690.0
132,남산역,35.265404,129.092496,POINT (390415.52613167587 298547.6677772286),140.0,26410104,26410,남산동,370.0
133,범어사역,35.273105,129.092679,POINT (390414.1504464814 299402.60201097804),139.0,26410103,26410,청룡동,35.0
134,노포역,35.28468657,129.094967,POINT (390595.21497277485 300692.2116516197),138.0,26410102,26410,노포동,36.0
201,장산역,35.169914,129.176986,POINT (398337.57161171135 288116.4850337387),127.0,26350107,26350,좌동,4.0
202,중동역,35.1667,129.168604,POINT (397581.57209968136 287743.1338262883),126.0,26350106,26350,중동,2.0
203,해운대역,35.163672,129.158908,POINT (396705.3226062702 287387.8885904064),125.0,26350105,26350,우동,3.0
204,동백역,35.161484,129.147897,POINT (395707.1580782288 287123.3569394083),125.0,26350105,26350,우동,3.0
205,시립미술관역,35.168844,129.138933,POINT (394872.6992894689 287922.4879430998),125.0,26350105,26350,우동,3.0
206,센텀시티역,35.168827,129.131745,POINT (394217.756813201 287906.53481409844),125.0,26350105,26350,우동,3.0
207,민락역,35.167228,129.121909,POINT (393325.2717695399 287709.92279241246),176.0,26500103,26500,민락동,35.0
208,수영역,35.165227,129.114713,POINT (392674.2717301636 287473.90372472524),177.0,26500104,26500,광안동,34.0
209,광안역,35.157916,129.113168,POINT (392550.72257543175 286659.6151938356),177.0,26500104,26500,광안동,34.0
210,금련산역,35.149771,129.110961,POINT (392368.77330952627 285751.5015605401),178.0,26500105,26500,남천동,65.0
211,남천역,35.142139,129.107978,POINT (392114.84035380953 284898.8223897474),178.0,26500105,26500,남천동,65.0
212,경성대부경대역,35.137585,129.100548,POINT (391448.25733527227 284379.14827234315),110.0,26290106,26290,대연동,1334.0
213,대연역,35.135153,129.092161,POINT (390689.40715429606 284093.1668181334),110.0,26290106,26290,대연동,1334.0
214,못골역,35.134731,129.084415,POINT (389984.2749031689 284031.52039870794),110.0,26290106,26290,대연동,1334.0
215,지게골역,35.135574,129.074365,POINT (389066.17982384923 284105.922983683),113.0,26290109,26290,문현동,1332.0
216,문현역,35.139151,129.067399,POINT (388422.9291910744 284489.63971132605),113.0,26290109,26290,문현동,1332.0
