EMD_NM,버스정거장수,버스노선수,지하철역수,인구수,교통지수
가야동,50,292,2,34681,0.42270984112338167
감만동,59,176,0,14636,0.7094834654277125
감전동,48,356,1,11983,1.4285237419677876
감천동,58,336,0,22279,0.8747250774271735
강동동,91,362,0,5002,6.585765693722511
개금동,83,486,1,54872,0.7356757544831608
거제동,115,694,3,70466,1.1338801691595948
광안동,73,436,4,65979,0.4842146743660862
괘법동,38,296,1,24389,0.4624215835007585
괴정동,88,516,3,59438,0.7654699014098725
구랑동,14,80,0,58,19.310344827586206
구서동,71,344,2,49747,0.492170382133596
구평동,74,270,0,12424,1.6081777205408887
구포동,100,626,3,56817,1.1033669500325607
금곡동,64,336,2,35281,0.6112071653297809
금사동,37,152,1,4680,1.208119658119658
금성동,24,48,0,914,1.2603938730853392
기장읍,240,1652,0,51721,7.6657450552000155
낙민동,20,192,1,19744,0.19600891410048624
남부민동,33,308,0,12378,0.8211342704798836
남산동,47,274,1,26347,0.48992295137966374
남천동,39,190,2,30056,0.24853606601011446
남포동1가,4,50,1,56,4.107142857142857
남포동4가,4,108,0,187,2.3101604278074865
남포동5가,4,108,0,206,2.0970873786407767
남포동6가,2,24,1,300,0.26
남항동1가,8,26,0,2977,0.06986899563318777
남항동2가,8,32,0,1053,0.24311490978157646
남항동3가,8,16,0,1675,0.0764179104477612
노포동,16,182,1,740,3.9756756756756757
녹산동,33,174,0,1160,4.95
눌차동,8,18,0,716,0.2011173184357542
다대동,135,730,3,61663,1.5996626826459952
당감동,73,462,0,42613,0.7914486189660432
당리동,44,200,1,24095,0.36646607179912843
대교동1가,8,76,0,1141,0.5328659070990359
대교동2가,5,56,0,1313,0.21325209444021326
대연동,193,960,3,96097,1.9289884179526937
대저1동,123,472,3,5814,10.001031991744066
대저2동,124,352,0,6520,6.694478527607362
대창동1가,1,48,0,533,0.0900562851782364
대창동2가,1,34,0,64,0.53125
대청동1가,1,0,0,979,0.0
대청동2가,3,12,0,487,0.07392197125256673
대청동3가,3,10,0,148,0.20270270270270271
대청동4가,10,32,0,4123,0.07761338830948339
대평동1가,5,10,0,1708,0.02927400468384075
대평동2가,2,4,0,324,0.024691358024691357
대항동,11,36,0,698,0.5673352435530086
덕천동,78,468,4,34169,1.0718487517925606
덕포동,49,310,2,23716,0.6430258053634677
동광동1가,1,38,0,135,0.2814814814814815
동광동3가,1,12,0,126,0.09523809523809523
동광동5가,4,14,0,2009,0.027874564459930314
동대신동1가,10,62,0,5285,0.1173131504257332
동대신동2가,19,62,1,6611,0.18272576009680835
동대신동3가,35,144,0,7231,0.6969990319457889
동삼동,149,796,0,41811,2.8366697758962953
동선동,5,20,0,1026,0.09746588693957114
두구동,31,118,0,1571,2.328453214513049
만덕동,116,478,1,60050,0.9238634471273939
망미동,78,298,0,35925,0.6470146137787056
명륜동,51,300,0,26253,0.5827905382242029
명장동,74,294,1,27095,0.8040597896290829
명지동,240,1378,0,84346,3.920992103952766
모라동,76,486,1,35374,1.045004805789563
문현동,87,328,3,44202,0.6476177548527215
미음동,45,130,0,72,81.25
민락동,38,208,1,27495,0.28856155664666305
반송동,50,258,2,33320,0.38895558223289317
반여동,128,620,0,68123,1.1649516316075335
범방동,41,168,0,1009,6.826560951437067
범일동,74,552,1,24745,1.6519700949686806
범전동,24,148,0,6272,0.5663265306122449
범천동,48,408,2,33682,0.5832195237812482
보수동1가,25,70,0,5812,0.3011011699931177
보수동2가,3,18,0,2273,0.02375714914210295
복천동,26,82,0,5435,0.3922723091076357
봉래동1가,1,2,0,1389,0.0014398848092152627
봉래동2가,7,22,0,2999,0.05135045015005002
봉래동3가,6,32,0,1830,0.10491803278688525
봉래동4가,9,72,0,4900,0.13224489795918368
봉래동5가,17,74,0,2468,0.5097244732576985
봉림동,43,170,0,924,7.911255411255412
부곡동,81,328,0,51074,0.5201863962094216
부민동1가,3,18,0,1259,0.04289118347895155
부민동2가,1,0,0,278,0.0
부민동3가,7,28,0,3066,0.0639269406392694
부암동,64,294,0,43731,0.43026685875008575
부용동1가,2,16,0,1514,0.021136063408190225
부용동2가,2,20,0,1204,0.03322259136212625
부전동,56,624,3,21723,1.6127606684159645
부평동1가,1,4,0,686,0.0058309037900874635
부평동2가,4,28,0,1028,0.10894941634241245
부평동3가,3,22,0,656,0.10060975609756098
부평동4가,1,2,0,1788,0.0011185682326621924
사직동,102,512,1,51790,1.0089592585441205
삼락동,38,118,0,5176,0.866306027820711
생곡동,39,224,0,536,16.29850746268657
서대신동1가,8,56,0,5479,0.08176674575652491
서대신동2가,23,126,1,9374,0.31235331768721997
서대신동3가,47,198,0,14563,0.639016686122365
서동,42,200,1,23046,0.3657901588128092
석대동,21,252,2,316,16.936708860759495
선동,11,34,0,499,0.749498997995992
성북동,43,170,0,1073,6.812674743709226
송정동,168,1034,0,10686,16.256035934868052
수안동,18,108,1,10930,0.1806038426349497
수영동,23,102,0,13885,0.16895930860640979
수정동,81,416,1,21140,1.595364238410596
식만동,13,48,0,442,1.411764705882353
신선동1가,8,44,0,1829,0.19245489338436303
신선동2가,20,82,0,3390,0.4837758112094395
신선동3가,18,90,0,1910,0.8481675392670157
신평동,73,454,2,32776,1.012997315108616
신호동,43,310,0,16210,0.8223318938926588
아미동1가,4,24,0,282,0.3404255319148936
아미동2가,48,168,0,6098,1.3224007871433257
안락동,74,398,1,39634,0.7438562850078215
암남동,53,382,0,15193,1.332587375765155
양정동,77,408,1,33818,0.929859837956118
엄궁동,36,262,0,24237,0.3891570738952841
연산동,208,1080,5,141588,1.5876345453004492
연지동,22,144,0,25671,0.1234077363561996
영선동1가,7,34,0,1158,0.20552677029360966
영선동2가,15,54,0,2495,0.3246492985971944
영선동3가,6,56,0,1626,0.2066420664206642
영선동4가,17,134,0,5796,0.39302967563837127
영주동,28,166,0,10810,0.4299722479185939
오륜동,15,30,0,222,2.027027027027027
온천동,189,894,6,84984,1.9903275910759672
용당동,38,214,0,7763,1.047533170166173
용호동,98,454,0,80787,0.5507321722554371
우동,95,780,4,79666,0.931639595310421
우암동,50,194,0,12112,0.8008586525759577
일광읍,152,530,0,29879,2.696208039091
장림동,151,610,2,35822,2.5729998325051646
장안읍,134,530,0,8758,8.109157341858872
장전동,81,530,2,43468,0.9890034048035337
재송동,98,494,0,58974,0.8209041272425136
전포동,107,424,1,44061,1.030344295408638
정관읍,219,1394,0,79393,3.8452508407542227
좌동,88,624,1,85011,0.6462928326922398
좌천동,36,180,1,13256,0.49109837054918526
주례동,132,708,2,50179,1.863648139660017
