EMD_NM,버스정거장수,버스노선수,지하철역수,인구수,교통지수,centroid_x,centroid_y
영주동,28,166,0,10810,0.4299722479185939,385267.08595867985,281418.22689490113
대창동1가,1,48,0,533,0.0900562851782364,385642.3391422209,280953.6101166908
대창동2가,1,34,0,64,0.53125,385754.67158566165,281271.8590718942
중앙동1가,0,0,0,236,0.0,385625.0199199475,280169.05283393164
중앙동2가,0,0,0,394,0.0,385604.4041933743,280319.5054087688
중앙동3가,2,50,0,92,1.0869565217391304,385598.0245951201,280463.6642110781
중앙동4가,8,146,1,1220,0.9819672131147541,386028.70678128017,280916.20962169033
중앙동5가,0,0,0,568,0.0,385751.1804566146,280330.75799113937
중앙동6가,6,114,0,57,12.0,385754.8675562097,280075.03906323627
중앙동7가,3,32,0,0,inf,385743.81208903296,279825.6859067684
동광동1가,1,38,0,135,0.2814814814814815,385623.94066043023,279986.5204062053
동광동2가,0,0,0,72,0.0,385496.1441725094,280105.2392173116
동광동3가,1,12,0,126,0.09523809523809523,385465.1926525303,280267.3563893799
동광동4가,0,0,0,96,0.0,385479.6745625953,280447.56295919756
동광동5가,4,14,0,2009,0.027874564459930314,385446.0584122752,280913.65675045294
대청동1가,1,0,0,979,0.0,385351.5592449978,280565.48099724273
대청동2가,3,12,0,487,0.07392197125256673,385188.5317986856,280408.37415187614
대청동3가,3,10,0,148,0.20270270270270271,384997.0793837806,280405.47941029054
대청동4가,10,32,0,4123,0.07761338830948339,385076.3838547671,280757.495254698
보수동1가,25,70,0,5812,0.3011011699931177,384709.33698557795,280822.4947406847
보수동2가,3,18,0,2273,0.02375714914210295,384493.2775865067,280627.585910227
보수동3가,0,0,0,2154,0.0,384389.5368790348,280534.8648153955
부평동1가,1,4,0,686,0.0058309037900874635,384837.26776443864,280150.4117719712
부평동2가,4,28,0,1028,0.10894941634241245,384714.0984356082,280132.08390528895
부평동3가,3,22,0,656,0.10060975609756098,384601.5002987168,280216.384673489
부평동4가,1,2,0,1788,0.0011185682326621924,384431.2499852046,280301.6903380735
신창동1가,0,0,0,337,0.0,385133.1110729353,280222.04179147136
신창동2가,0,0,0,192,0.0,385049.7766205997,280213.08997782733
신창동3가,0,0,0,85,0.0,384994.35758353164,280217.83480742434
신창동4가,0,0,0,60,0.0,384938.2791726623,280211.0504564935
창선동1가,0,0,0,29,0.0,385131.77253839246,280021.7287275892
창선동2가,0,0,0,80,0.0,384976.82756721793,280022.7719178286
광복동1가,0,0,0,60,0.0,385511.91093867546,279942.1845648932
광복동2가,0,0,0,23,0.0,385325.6889552699,280090.14353511453
광복동3가,0,0,0,26,0.0,385223.3818352238,280140.9778793328
남포동1가,4,50,1,56,4.107142857142857,385555.6282047977,279781.82313027687
남포동2가,0,0,0,54,0.0,385332.46953650913,279889.0284686743
남포동3가,0,0,0,7,0.0,385036.9378690782,279955.1634930038
남포동4가,4,108,0,187,2.3101604278074865,385292.4602901503,279788.21279311646
남포동5가,4,108,0,206,2.0970873786407767,385056.9678968335,279806.7596482639
남포동6가,2,24,1,300,0.26,384835.1428915591,279760.56205821596
동대신동1가,10,62,0,5285,0.1173131504257332,384371.4572517927,281169.02354204183
동대신동2가,19,62,1,6611,0.18272576009680835,384447.34016035654,281546.7936357693
동대신동3가,35,144,0,7231,0.6969990319457889,384284.9299180069,282691.3042544797
서대신동1가,8,56,0,5479,0.08176674575652491,383722.100761635,280881.61458667635
서대신동2가,23,126,1,9374,0.31235331768721997,383368.37589366816,281105.70808513596
서대신동3가,47,198,0,14563,0.639016686122365,383210.51766291034,282905.8273477105
부용동1가,2,16,0,1514,0.021136063408190225,384263.83565842244,280782.7093027702
부용동2가,2,20,0,1204,0.03322259136212625,383958.5637547325,280771.4337830949
부민동1가,3,18,0,1259,0.04289118347895155,384236.5611511228,280453.0426284906
부민동2가,1,0,0,278,0.0,384120.78229456046,280461.3827291822
부민동3가,7,28,0,3066,0.0639269406392694,383835.76157708484,280465.9653282554
토성동1가,0,0,0,2702,0.0,384493.6579097241,279996.7271285641
토성동2가,0,0,0,945,0.0,384327.36854387744,280082.9729283585
토성동3가,2,16,1,657,0.0943683409436834,384219.59241060074,280085.3064176782
아미동1가,4,24,0,282,0.3404255319148936,384109.60106858134,280097.9458807636
아미동2가,48,168,0,6098,1.3224007871433257,383554.2507676701,280070.19401917455
토성동4가,3,48,0,319,0.45141065830721006,384516.1690061054,279776.15036617266
토성동5가,2,14,0,1838,0.015233949945593036,384354.38419714733,279781.56348023703
초장동,8,36,0,3795,0.07588932806324111,383975.85444480507,279402.2665195411
충무동1가,9,94,0,1326,0.6380090497737556,384613.2289060508,279568.4948649092
충무동2가,0,0,0,1108,0.0,384408.5402441599,279536.42552102165
충무동3가,0,0,0,633,0.0,384408.5061361117,279380.0023541129
남부민동,33,308,0,12378,0.8211342704798836,384363.22214780276,278636.01358533057
암남동,53,382,0,15193,1.332587375765155,383742.9633311069,276759.15215559374
초량동,50,682,2,27832,1.227364185110664,385844.4106340763,282275.64640357904
수정동,81,416,1,21140,1.595364238410596,385800.2862033855,283671.91589150607
좌천동,36,180,1,13256,0.49109837054918526,387141.32801458833,283417.4254276065
범일동,74,552,1,24745,1.6519700949686806,387350.9804070769,284223.28345587495
대교동1가,8,76,0,1141,0.5328659070990359,385843.4013355614,279310.3248822331
대교동2가,5,56,0,1313,0.21325209444021326,386124.94332804607,279172.6542338823
대평동1가,5,10,0,1708,0.02927400468384075,385576.74959633785,279093.44635783724
대평동2가,2,4,0,324,0.024691358024691357,385369.44904740324,279253.17950856296
남항동1가,8,26,0,2977,0.06986899563318777,385963.3159190585,279009.3141374978
남항동2가,8,32,0,1053,0.24311490978157646,385806.09334817145,278791.4796588653
남항동3가,8,16,0,1675,0.0764179104477612,385784.3310353394,278433.8491052317
영선동1가,7,34,0,1158,0.20552677029360966,386392.3952174362,279037.8810209163
영선동2가,15,54,0,2495,0.3246492985971944,386277.4606454721,278796.1795311469
영선동3가,6,56,0,1626,0.2066420664206642,386169.8895723234,278524.13139601937
영선동4가,17,134,0,5796,0.39302967563837127,386598.2959420278,277793.52834952204
신선동1가,8,44,0,1829,0.19245489338436303,386680.63785983983,279014.52119692636
신선동2가,20,82,0,3390,0.4837758112094395,386775.96373051475,278621.5631552877
신선동3가,18,90,0,1910,0.8481675392670157,386950.5901231753,278145.6357353471
봉래동1가,1,2,0,1389,0.0014398848092152627,386047.29621935793,279476.58179764013
봉래동2가,7,22,0,2999,0.05135045015005002,386288.28853300127,279502.51036194066
봉래동3가,6,32,0,1830,0.10491803278688525,386482.49368216813,279424.50630899955
봉래동4가,9,72,0,4900,0.13224489795918368,386852.56437086326,279236.13803114096
봉래동5가,17,74,0,2468,0.5097244732576985,387126.5877169219,279398.6506695617
청학동,83,366,0,21876,1.3886450905101482,387980.495511433,279187.7183687397
동삼동,149,796,0,41811,2.8366697758962953,389230.21703398786,276922.29079883685
양정동,77,408,1,33818,0.929859837956118,388670.38311169087,288169.29619737016
전포동,107,424,1,44061,1.030344295408638,388717.24246584234,286534.0274876129
부전동,56,624,3,21723,1.6127606684159645,387517.2154712627,286494.9023284231
범천동,48,408,2,33682,0.5832195237812482,386982.2632014324,285447.4270683598
범전동,24,148,0,6272,0.5663265306122449,387693.3845244952,287566.69521230145
연지동,22,144,0,25671,0.1234077363561996,387066.26045451855,288109.4571826491
초읍동,54,260,0,20335,0.6904352102286698,385873.79444426927,289623.4561714233
부암동,64,294,0,43731,0.43026685875008575,385677.6412524978,288086.18579571083
당감동,73,462,0,42613,0.7914486189660432,384851.7592167679,287541.19635909115
가야동,50,292,2,34681,0.42270984112338167,385209.7449109114,285284.6902305873
개금동,83,486,1,54872,0.7356757544831608,384128.0322921358,286036.0370920694
명장동,74,294,1,27095,0.8040597896290829,391468.66392636526,292088.13929839525
안락동,74,398,1,39634,0.7438562850078215,391758.4122649105,290864.8352622127
칠산동,8,24,0,2986,0.06430006697923643,390527.18854615546,291787.6285101737
낙민동,20,192,1,19744,0.19600891410048624,390582.64359557256,290921.4726738462
복천동,26,82,0,5435,0.3922723091076357,390172.7605934199,292035.64425488893
수안동,18,108,1,10930,0.1806038426349497,389886.38591296494,291158.53894647124
명륜동,51,300,0,26253,0.5827905382242029,389868.3989389323,292489.7517186747
온천동,189,894,6,84984,1.9903275910759672,388321.88661090063,292784.050053475
사직동,102,512,1,51790,1.0089592585441205,387512.9625994202,291104.286927839
대연동,193,960,3,96097,1.9289884179526937,390705.3587633167,284716.3350785604
용호동,98,454,0,80787,0.5507321722554371,392766.2815212192,281862.94289004797
용당동,38,214,0,7763,1.047533170166173,391242.4587906614,281575.1767044753
문현동,87,328,3,44202,0.6476177548527215,388898.8865466728,284697.9096334658
우암동,50,194,0,12112,0.8008586525759577,389220.59526972094,283051.36765901593
감만동,59,176,0,14636,0.7094834654277125,389647.76843014796,281614.22391344554
금곡동,64,336,2,35281,0.6112071653297809,384113.5054902676,298010.5479030823
화명동,102,404,3,84894,0.48646547459184397,384365.0924494271,295416.1813750841
만덕동,116,478,1,60050,0.9238634471273939,385621.3017668121,292715.7156937064
덕천동,78,468,4,34169,1.0718487517925606,383032.2810446618,292803.93988973193
구포동,100,626,3,56817,1.1033669500325607,382780.7675219642,290951.11825560144
반송동,50,258,2,33320,0.38895558223289317,395967.01647093426,294322.25690165104
석대동,21,252,2,316,16.936708860759495,394127.99431252584,294134.3754572242
반여동,128,620,0,68123,1.1649516316075335,394111.72765085066,291913.4509121223
재송동,98,494,0,58974,0.8209041272425136,393861.10350987193,289778.7328093878
우동,95,780,4,79666,0.931639595310421,395676.35100977315,288553.71371171856
중동,78,416,1,42388,0.7662074171935453,398336.73066556535,287293.413311913
좌동,88,624,1,85011,0.6462928326922398,398052.4024090512,289724.6754069733
송정동,168,1034,0,10686,16.256035934868052,400164.2172185447,289798.5203525034
괴정동,88,516,3,59438,0.7654699014098725,381832.6990705872,280397.72975060594
당리동,44,200,1,24095,0.36646607179912843,380802.12646437716,281361.53594171326
하단동,60,544,1,46235,0.7066075483940738,378059.4205666167,281097.6540931838
신평동,73,454,2,32776,1.012997315108616,379325.52037903835,278914.098646928
장림동,151,610,2,35822,2.5729998325051646,379589.15408861905,277305.8797504489
다대동,135,730,3,61663,1.5996626826459952,379715.75828803435,275083.8166818586
구평동,74,270,0,12424,1.6081777205408887,381566.5335537753,277087.8804585271
감천동,58,336,0,22279,0.8747250774271735,382793.4463269223,278843.1463903218
두구동,31,118,0,1571,2.328453214513049,392040.4072559035,301472.3701110036
노포동,16,182,1,740,3.9756756756756757,390215.308585808,301286.7748212878
청룡동,24,102,1,8612,0.28773803994426383,388308.1563788913,300360.21991392155
남산동,47,274,1,26347,0.48992295137966374,389327.29754438455,298816.17153611075
선동,11,34,0,499,0.749498997995992,392259.7721054382,299228.1182648937
오륜동,15,30,0,222,2.027027027027027,392816.5760921124,296707.4442881082
구서동,71,344,2,49747,0.492170382133596,389677.543120839,297304.41152094444
장전동,81,530,2,43468,0.9890034048035337,388864.8849828714,295171.55190324836
부곡동,81,328,0,51074,0.5201863962094216,390793.225876569,294863.60997891944
서동,42,200,1,23046,0.3657901588128092,391518.9879449994,293303.67563581554
금사동,37,152,1,4680,1.208119658119658,392266.1502152931,293667.41171736905
회동동,16,114,0,2479,0.7357805566760791,393652.95594045345,295522.97722271393
금성동,24,48,0,914,1.2603938730853392,386931.00149714877,297217.6769456363
대저1동,123,472,3,5814,10.001031991744066,379029.82075982913,292284.4966646744
대저2동,124,352,0,6520,6.694478527607362,377003.0696642568,286627.1478514176
강동동,91,362,0,5002,6.585765693722511,374773.87382442405,288802.3641681016
명지동,240,1378,0,84346,3.920992103952766,374452.47397139977,280145.2365957898
죽림동,23,66,0,369,4.1138211382113825,373023.17105770163,291027.7858084625
식만동,13,48,0,442,1.411764705882353,373810.25777118676,292361.16268246766
죽동동,3,6,0,388,0.04639175257731959,371525.4161902969,290883.8140323273
봉림동,43,170,0,924,7.911255411255412,372612.46793445625,287471.5866833764
송정동,168,1034,0,10686,16.256035934868052,368429.5509438086,279689.1182639434
화전동,42,144,0,3544,1.7065462753950338,370961.94931212725,280257.21958291705
녹산동,33,174,0,1160,4.95,371442.581546292,281709.11025238375
생곡동,39,224,0,536,16.29850746268657,371296.1914531242,283381.1017927901
구랑동,14,80,0,58,19.310344827586206,369015.2883938051,282807.19654611166
지사동,73,448,0,10221,3.199686919088152,366303.0310219528,284806.8631117936
미음동,45,130,0,72,81.25,369415.11234034656,285633.3303746612
범방동,41,168,0,1009,6.826560951437067,371354.1153827022,286075.3200919257
신호동,43,310,0,16210,0.8223318938926588,371140.71232327743,278090.1152926185
동선동,5,20,0,1026,0.09746588693957114,367662.47776925797,273669.98035971244
성북동,43,170,0,1073,6.812674743709226,366042.6445062581,275781.2692079094
눌차동,8,18,0,716,0.2011173184357542,368407.77063699113,276104.2263911303
천성동,35,152,0,783,6.794380587484036,366203.1951702664,272110.99019124755
대항동,11,36,0,698,0.5673352435530086,367123.72857425566,269532.71212561766
거제동,115,694,3,70466,1.1338801691595948,388312.74093652045,289972.8402277292
연산동,208,1080,5,141588,1.5876345453004492,390506.7150283233,288968.4426902963
망미동,78,298,0,35925,0.6470146137787056,391744.1342315862,288312.9293010772
수영동,23,102,0,13885,0.16895930860640979,392928.40384186065,288059.64317371626
민락동,38,208,1,27495,0.28856155664666305,393678.26306731126,286882.70378699683
광안동,73,436,4,65979,0.4842146743660862,392200.09702580667,286834.52632152283
남천동,39,190,2,30056,0.24853606601011446,392263.65386238,285123.7445757991
삼락동,38,118,0,5176,0.866306027820711,379673.5550791602,288299.95752448565
모라동,76,486,1,35374,1.045004805789563,382278.9422673499,289406.93059881806
덕포동,49,310,2,23716,0.6430258053634677,381148.1825993086,288281.64990972297
괘법동,38,296,1,24389,0.4624215835007585,381595.12311047263,287344.5282436734
감전동,48,356,1,11983,1.4285237419677876,380346.0554048571,285557.8529699471
주례동,132,708,2,50179,1.863648139660017,382758.35301043105,285758.1256267463
학장동,63,336,0,26350,0.8033396584440228,381266.8540239812,284183.3944675434
엄궁동,36,262,0,24237,0.3891570738952841,379619.48537976056,283294.77770360623
기장읍,240,1652,0,51721,7.6657450552000155,400934.94089548977,294394.2116068375
장안읍,134,530,0,8758,8.109157341858872,404271.3915928603,308196.89575947705
정관읍,219,1394,0,79393,3.8452508407542227,398017.85195742873,306546.89167388325
일광읍,152,530,0,29879,2.696208039091,402254.56465699174,301225.33390073496
철마면,91,340,2,7531,4.116319213915815,396015.8410541171,300504.18312664516
